Date,Close/Last,Volume,Open,High,Low
10/24/2025,22.85,160416,22.82,22.9299,22.77
10/23/2025,22.88,259797,22.88,22.88,22.77
10/22/2025,22.87,273403,22.90,22.91,22.76
10/21/2025,22.84,235125,22.81,22.88,22.80
10/20/2025,22.82,87577,22.89,22.89,22.78
10/17/2025,22.87,252222,22.65,22.87,22.65
10/16/2025,22.68,524030,22.72,22.82,22.68
10/15/2025,22.81,98801,22.88,22.891,22.7401
10/14/2025,22.80,548142,22.71,22.82,22.69
10/13/2025,22.79,178154,22.87,22.87,22.73
10/10/2025,22.72,172476,22.82,22.82,22.65
10/09/2025,22.70,264929,22.75,22.77,22.59
10/08/2025,22.82,221995,22.91,22.9499,22.77
10/07/2025,22.86,129282,22.85,22.86,22.76
10/06/2025,22.84,175535,22.67,22.84,22.67
10/03/2025,22.81,161493,22.94,22.94,22.78
10/02/2025,22.92,408935,22.91,22.93,22.8186
10/01/2025,22.83,324365,22.91,22.91,22.80
09/30/2025,22.91,142598,22.85,22.9265,22.8045
09/29/2025,22.85,118332,22.80,22.905,22.80
09/26/2025,22.85,207058,22.85,22.864,22.76
09/25/2025,22.78,169400,22.85,22.85,22.73
09/24/2025,22.97,191967,23.05,23.05,22.93
09/23/2025,23.00,89958,22.89,23.00,22.89
09/22/2025,22.97,151814,22.96,23.00,22.90
09/19/2025,22.93,138706,22.94,22.97,22.86
09/18/2025,22.85,197125,22.94,22.94,22.8001
09/17/2025,22.88,101883,22.93,22.93,22.79
09/16/2025,22.85,147163,22.99,22.99,22.85
09/15/2025,22.87,176450,22.91,22.95,22.86
09/12/2025,22.95,164508,22.90,22.9741,22.86
09/11/2025,22.90,159236,22.90,22.98,22.90
09/10/2025,22.92,106021,22.90,22.9399,22.85
09/09/2025,22.80,262893,22.82,22.8485,22.79
09/08/2025,22.83,152198,22.90,22.90,22.83
09/05/2025,22.82,323857,22.95,22.95,22.82
09/04/2025,22.88,98032,22.80,22.89,22.80
09/03/2025,22.81,161554,22.78,22.90,22.70
09/02/2025,22.85,168818,22.78,22.85,22.76
08/29/2025,22.81,340687,22.92,22.92,22.80
08/28/2025,22.85,199614,22.78,22.87,22.78
08/27/2025,22.85,172286,22.95,22.95,22.75
08/26/2025,22.81,366839,22.96,22.98,22.78
08/25/2025,22.96,243734,23.03,23.05,22.96
08/22/2025,23.06,232381,23.11,23.1106,23.00
08/21/2025,23.00,346058,23.05,23.075,22.97
08/20/2025,23.01,148321,23.12,23.1299,22.94
08/19/2025,22.93,253303,23.14,23.14,22.9028
08/18/2025,22.97,274811,23.14,23.14,22.95
08/15/2025,23.04,104952,23.14,23.14,22.93
08/14/2025,22.96,176641,23.00,23.0823,22.96
